ID,Comparator,Pollinator control,Weather,Assignment/randomisation
LIT-004,,NR,Field conditions mentioned; systematic weather covariates NR,Targets detected/selected by vision; assignment probability NR | Randomisation: No
LIT-038,Manual dry pollination; electric sprayer; hand-held sprayer,Open-orchard co-intervention not quantified,Wind recorded qualitatively as major droplet-drift cause,Orchard zones described as randomly divided; unit-level treatment assignment not reconstructable | Randomisation: Unclear
LIT-048,Bumblebees and hormone treatment,Bumblebee comparator reported; allocation and concurrent exposure details NR,Greenhouse conditions; detailed covariates NR,AI flower-shape classifier and programmed search; experimental assignment procedure NR | Randomisation: No/NR
LIT-061,External literature benchmarks for writing-brush and electric-pollinator methods; not concurrent controls,Open orchard; natural-pollinator exposure was not quantified or excluded,Strong illumination was identified as a source of binocular-vision failure; no systematic environmental covariates,Pollinating positions were described as randomly selected and divided into three zones; no randomised treatment comparison
LIT-072,,Natural wind/pollinator context not controlled,Wind disturbance analysed in CFD and discussed,Pilot-selected tree/flight; no treatment assignment protocol | Randomisation: No
LIT-097,Commercial Cambrian wet-pollination practice and conventionally grown fruit,Not fully reconstructable from the available indexed text,NR in the verified abstract-level record,No randomised or documented stochastic-probability assignment reported | Randomisation: No/NR
LIT-098,Bee-pollinated positive controls and attempted negative controls,Treatment flowers bagged before/after robotic pass; positive controls exposed to bees; negative controls failed as intended,Orchard/site effects discussed but concurrent weather covariates not central to analysis,Areas divided into fixed strips by nozzle; flowers tagged/bagged; no randomised treatment assignment | Randomisation: No
LIT-101,,Not applicable; artificial flowers,Greenhouse test; environmental covariates not analysed,All visible-pistil flowers on 12 arranged plants were attempted; no treatment assignment
LIT-104,No adequately described concurrent comparator,NR,Commercial field context; systematic weather data NR,Vision-selected target flowers; probabilities and eligibility denominator NR | Randomisation: No
LIT-105,Stage-matched tagged natural-pollination flowers,"Branches netted before bloom, opened for treatment, and re-netted for five weeks",Site/trial weather discussed; Fuji trial affected by wind/rain timing,Comparison flowers randomly selected/tagged; robotic treatment itself not randomly assigned | Randomisation: No treatment randomisation
LIT-115,No biological comparator,NR,Controlled environment,Four viewpoints per plant; no treatment assignment | Randomisation: No
LIT-118,,,,Artificial flower posed at varied orientations; trial count NR | Randomisation: No
LIT-119,"Configurations with 1, 2, 4, and 6 arms",,Greenhouse,Artificial targets assigned through multi-agent architecture | Randomisation: No
LIT-120,Naturally pollinated flowers outside greenhouse,Robot flowers in greenhouse; comparator exposed naturally outside; environments differ,Distance/wind-speed mechanism experimentally assessed,37 robot flowers allocated by distance; 12 natural flowers visually counted; no randomisation | Randomisation: No
LIT-121,Contact robotic method,No biological pollinator comparison,Greenhouse; environmental biological covariates NR,Reachable detected flowers; assignment probabilities NR | Randomisation: No
LIT-125,Eight artificial-plant scenarios,,,Reachable flowers identified and attempted; no causal assignment | Randomisation: No
LIT-172,Hand brush pollination,Closed PFAL; bee exposure absent,Controlled environment,"Fifty flowers per method; flowers randomly selected, but method-allocation randomisation not fully described"
LIT-173,Passive artificial-wind control in a separate human-operated tool experiment,Controlled indoor facility,Controlled environment,No robotic treatment-assignment experiment
LIT-174,No quantitative comparator,Greenhouse described as not influenced by natural pollinators,Tests at approximately 20°C and 30–40% humidity,No treatment-assignment protocol
LIT-175,None in completed preliminary tests,Open-field natural exposure not quantified,Real-world field conditions; systematic covariates not reported,No assignment design
LIT-176,Artificial pollination and drone pollination in the same facility environment for downstream fruit outcomes,Facility environment; natural pollinators not described as a concurrent exposure,Controlled facility temperature and humidity reported,"Operational trials were divided into ten groups with frontlight/backlight balance; biological treatment allocation among artificial, drone and mechanical methods was not described as randomised"
LIT-195,"Six path-planning algorithms: RRT, BI-RRT, RRT*, BI-RRT*, GBI-RRT* and Informed-RRT*",Not applicable; simulated plant,Not applicable,Each algorithm was run 60 times in the simulation experiment; no biological treatment assignment
LIT-196,"Alternative detector deployments: YOLOv5s, YOLOv5s-T, YOLOv5-Sh-V2 and YOLOv5s-Mb-V2",Not applicable; artificial flowers,Outdoor lighting/view conditions varied; drone was held stationary for the reported tests,Five consecutive three-minute flights per model configuration; no biological treatment assignment
