Experiment ID,Publication ID,Family ID,Programme family,Experiment label,Setting/season,Publication-level PV,Publication-level BV,Publication-level DC,Publication-level RG,BV attribution,Biological endpoint present,Counting justification,Important caution
EXP-LIT-004,LIT-004,F01,Ahmad watermelon visual-servo,Single experiment represented by publication,Three open-field farms plus controlled laboratory,PV3,BV0,DC0,RG2,,No,No defensible split into multiple independent experiments from the audited evidence.,"Success is contact/pose execution, not biological pollination; exact trial denominator not stated."
EXP-LIT-038,LIT-038,F02,Gao/Cao kiwifruit targeting-robot programme,Single experiment represented by publication,Commercial orchard; experimental zones within the same orchard,PV3,BV3,DC1,RG1,A2,Yes,No defensible split into multiple independent experiments from the audited evidence.,Raw denominators are not reported in the extracted table; open-orchard pollinator exposure and unit assignment are unresolved.
EXP-LIT-048,LIT-048,F03,Hiraguri tomato-drone programme,Single experiment represented by publication,Greenhouse tomato field with motion-capture/flight-control infrastructure,PV3,BV3,DC1,RG1,A2,Yes,No defensible split into multiple independent experiments from the audited evidence.,Exact group-specific fruiting percentages and comparator sample sizes are not given in extractable text; biological test-to-full-autonomy linkage requires cautious interpretation.
EXP-LIT-061,LIT-061,F04,Li/Cui lightweight kiwifruit-arm programme,Single experiment represented by publication,"Kiwifruit test station, Mei County, Shaanxi; natural trellis-grown kiwifruit; three randomly selected 2 × 2 m pollination zones",PV3,BV0,DC1,RG1,,No,No defensible split into multiple independent experiments from the audited evidence.,"The 85% endpoint is robot targeting/spray execution, not biological pollination. Comparator values came from another publication. Integer numerators are not reported. Under ±0.5 pp rounding, the 86% (18/21) and 87% (20/23) pollination rates are compatible with the stated zone totals; all three detection rates and the 82% Zone-3 pollination rate are not."
EXP-LIT-072,LIT-072,F05,Mazinani walnut aerial robot,Single experiment represented by publication,Walnut orchard field demonstration,PV3,BV1,DC0,RG0,A1,No,No defensible split into multiple independent experiments from the audited evidence.,Pilot controlled; qualitative leaf deposition was treated as success; no biological endpoint.
EXP-LIT-097-2020,LIT-097,F06,Auckland/Waikato kiwifruit programme,Earlier autonomous individual-flower kiwifruit pollination field experiment,Commercial orchard field trial preceding the 2019 two-orchard study,PV3,BV4,DC1,RG1,A2,Yes,Distinct experiment reported in the 2020 Journal of Field Robotics article.,Do not use the 2019 two-orchard denominators or outcomes from LIT-098 in this row.
EXP-LIT-098-2019,LIT-098,F06,Auckland/Waikato kiwifruit programme,Two-orchard autonomous quality-evaluation experiment,Three areas in two commercial orchards; 2019 field trial,PV3,BV4,DC2,RG2,A2,Yes,"The 2021 Field Robotics paper explicitly reports a new, more controlled real-world evaluation.",Negative controls failed; no randomisation; spillover and pollen consumption remain important limitations.
EXP-LIT-101,LIT-101,F07,CASIA forsythia-arm programme,Single experiment represented by publication,Greenhouse arrangement of 12 plants carrying high-fidelity artificial forsythia flowers,PV1,BV1,DC0,RG1,,No,No defensible split into multiple independent experiments from the audited evidence.,"The reported 'pollination' endpoint is paint transfer to an artificial pistil. The ground vehicle was proposed for deployment, but the biological effectiveness of the integrated system was not tested."
EXP-LIT-104,LIT-104,F08,WSU apple precision-pollination programme,Single experiment represented by publication,Commercial apple orchard; 2022 and 2023 cohorts,PV3,BV3,DC0,RG2,A1,Yes,No defensible split into multiple independent experiments from the audited evidence.,Different years and verification stages cannot be chained; 'yield data promising' lacks recoverable data; manual platform driving.
EXP-LIT-105,LIT-105,F08,WSU apple precision-pollination programme,Single experiment represented by publication,Two Washington orchard sites,PV3,BV4,DC2,RG2,A1,Yes,No defensible split into multiple independent experiments from the audited evidence.,"Small unequal cohorts, netting effects, no randomised treatment assignment, single robotic visit versus repeated natural visitation."
