ID,Primary material,Engineering-feasibility mask,Policy-assignment denominator,Randomised biological treatment assignment,Prospective stochastic assignment probability,Complete deterministic policy provenance,Explicit interference modelling,Design/provenance note
LIT-004,Full text reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-038,Full text reviewed,NO,NO,UNCLEAR,UNCLEAR,NO,NO,
LIT-048,Full text reviewed,NO,NO,NO,NOT APPLICABLE,NO,NO,
LIT-061,Full text reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-072,Full text reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,
LIT-097,Publisher abstract and indexed full-text excerpts reviewed; publication identity verified,NOT ASSESSABLE,NOT ASSESSABLE,NOT ASSESSABLE,NOT ASSESSABLE,NOT ASSESSABLE,NOT ASSESSABLE,Source-limited for negative adjudication.
LIT-098,Open full text reviewed,NO,NO,NO,NOT APPLICABLE,NO,NO,
LIT-101,Full text reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-104,Full extended paper reviewed,NO,NO,NO,NOT APPLICABLE,NO,NO,
LIT-105,Full text reviewed,NO,NO,NO,NOT APPLICABLE,NO,NO,
LIT-115,Full text reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-118,Full text reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-119,Full text reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-120,Full text reviewed,NO,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,
LIT-121,Full text reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-125,Full text reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-172,Full text/HTML reviewed,NO,NO,UNCLEAR,UNCLEAR,NOT APPLICABLE,NO,
LIT-173,Full text/HTML reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-174,Full text/PDF reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-175,Full text/HTML reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,
LIT-176,Full text reviewed,NO,NO,NO,NOT APPLICABLE,NO,NO,
LIT-195,Full text reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,
LIT-196,Full text reviewed,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-200,Full text reviewed,NO,NO,NO,NOT APPLICABLE,NO,NO,
LIT-227,Full text reviewed,NO,NO,NO,NOT APPLICABLE,NO,NO,
LIT-236,Full text reviewed,NO,NO,NO,NOT APPLICABLE,NO,NO,
LIT-238,Full text reviewed,NO,NO,NO,NOT APPLICABLE,NO,NO,
LIT-221,Full text reviewed,NO,NO,NO,NOT APPLICABLE,NO,NO,
LIT-338,Full conference paper reviewed from the University of Waikato repository,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
LIT-339,Official Zenodo conference paper available; treated as a companion report of the same 2016 evaluation,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,
