Cohort row ID,Record ID,Study/cohort,Available/total,Detected,Positioned/eligible,Attempted/operated,Verified outcome,Rate,Unit,Verification tier,Interpretation / data-quality note
DEN-001,LIT-101,Artificial forsythia total,297,286,,286,256,86.19%,Artificial flower,BV1,256 pistil contacts; 30 petal/flower contacts; 11 misses; red paint used instead of pollen.
DEN-002,LIT-061,Kiwifruit Zone 1,21,92% reported,,,86% reported,86%,Flower,BV0,Integer detected and successful counts are not reported.
DEN-003,LIT-061,Kiwifruit Zone 2,23,93% reported,,,87% reported,87%,Flower,BV0,Integer detected and successful counts are not reported.
DEN-004,LIT-061,Kiwifruit Zone 3,20,91% reported,,,82% reported,82%,Flower,BV0,82% is not integer-compatible with n=20.
DEN-005,LIT-176,Integrated tomato operational pipeline,1828,1636,1486,1405,,"1,405/1,828 = 76.86%; source separately reports POL 73.58%",Flower target,BV0 operational,"The 73.58% POL is a separately defined composite and is not reconstructable from the stated N1→N4 cascade; the paper also says 100 runs, which differs from the 1,828 manually counted targets in Table 4."
DEN-006,LIT-176,Artificial pollination comparator,200,,,200,195,97.5%,Flower,BV4,Fruit counted 40 days after treatment.
DEN-007,LIT-176,Drone pollination comparator,200,,,200,196,98.0%,Flower,BV4,Treatment construction and assignment not described.
DEN-008,LIT-176,Mechanical robot treatment,200,,,200,198,99.0%,Flower,BV4,Mean mass 298.1 g; no deformed or empty fruit reported.
DEN-009,LIT-195,PSBI-RRT simulation trials,60,,,60,57,95.0%,Path-planning trial,BV0,Three failures; endpoint is collision-free path success on a simulated chili tree.
DEN-010,LIT-196,YOLOv5s-Im flight 1,,,,40,,,Actuator trigger,BV0,No available-target or contact-verification denominator.
DEN-011,LIT-196,YOLOv5s-Im flight 2,,,,38,,,Actuator trigger,BV0,Artificial flowers; manually flown/stationary test.
DEN-012,LIT-196,YOLOv5s-Im flight 3,,,,43,,,Actuator trigger,BV0,
DEN-013,LIT-196,YOLOv5s-Im flight 4,,,,45,,,Actuator trigger,BV0,
DEN-014,LIT-196,YOLOv5s-Im flight 5,,,,42,,,Actuator trigger,BV0,Five-flight total = 208 attempts.
DEN-015,LIT-200,2024 Zone A,30,,,30,23,76.7%,Flower,BV4,"Ultrasonic nozzle, one application"
DEN-016,LIT-200,2024 Zone B,30,,,30,20,66.7%,Flower,BV4,"External-mix nozzle, one application"
DEN-017,LIT-200,2024 Zone C,30,,,30,17,56.7%,Flower,BV4,"Siphon nozzle, one application"
DEN-018,LIT-200,2024 Zone D,30,,,30,26,86.7%,Flower,BV4,"Internal-mix nozzle, two applications"
DEN-019,LIT-200,2024 Zone E,30,,,30,23,76.7%,Flower,BV4,"Internal-mix nozzle, one application"
DEN-020,LIT-200,2024 Zone F,30,,,30,25,83.3%,Flower,BV4,"Internal-mix nozzle, one application"
DEN-021,LIT-200,2024 Zone G,30,,,30,25,83.3%,Flower,BV4,"Internal-mix nozzle, two applications"
DEN-022,LIT-200,2024 Zone H,30,,,30,23,76.7%,Flower,BV4,"Internal-mix nozzle, one application"
DEN-023,LIT-200,2024 Zone I,30,,,30,28,93.3%,Flower,BV4,"Manual dry pollen, two applications"
DEN-024,LIT-200,2024 Zone J,30,,,30,29,96.7%,Flower,BV4,"Manual dry pollen, two applications"
DEN-025,LIT-200,2025 Zone A,50,,,50,46/50,92.0%,Flower,BV3,Wind compensation ON
DEN-026,LIT-200,2025 Zone B,50,,,50,44/50,88.0%,Flower,BV3,Wind compensation OFF
DEN-027,LIT-200,2025 Zone C,50,,,50,45/50,90.0%,Flower,BV3,Wind compensation ON
DEN-028,LIT-200,2025 Zone D,50,,,50,42/50,84.0%,Flower,BV3,Wind compensation OFF
DEN-029,LIT-200,2025 Zone E,50,,,50,46/50,92.0%,Flower,BV3,Wind compensation ON
DEN-030,LIT-200,2025 Zone F,50,,,50,41/50,82.0%,Flower,BV3,Wind compensation OFF
DEN-031,LIT-200,2025 Zone G,50,,,50,47/50,94.0%,Flower,BV3,Wind compensation ON
DEN-032,LIT-200,2025 Zone H,50,,,50,55/50 reported,88.0%,Flower,BV3,"Wind compensation OFF; impossible numerator, do not correct silently"
DEN-033,LIT-200,2025 Zone I,50,,,50,42/50,84.0%,Flower,BV3,Wind compensation OFF
DEN-034,LIT-200,2025 Zone J,50,,,50,48/50,96.0%,Flower,BV3,Wind compensation ON
