Family ID,PV/BV/DC/RG ranges,Principal experiment,Complete profile,Biological attribution basis,Principal biological result
F01,PV3 | BV0 | DC0 | RG2,EXP-LIT-004,PV3 / BV0 / DC0 / RG2 / NA,No biological endpoint.,"No deposition, fruit-set, yield, or quality outcome"
F02,PV3 | BV3–BV4 | DC1 | RG1,EXP-LIT-227,PV3 / BV4 / DC1 / RG1 / A2,Autonomous in-zone targeting and multinozzle spraying.,"Fruit set: robot 88.9%, hand 90.6%, electric sprayer 77.8%; harvest fruit size, weight and seed count evaluated"
F03,PV3 | BV3 | DC1 | RG1,EXP-LIT-048,PV3 / BV3 / DC1 / RG1 / A2,Drone applied vibration to 200 clusters autonomously.,No significant difference between proposed vibrator and bumblebee fruiting rates; hormone treatment slightly lower
F04,PV3 | BV0 | DC1 | RG1,EXP-LIT-061,PV3 / BV0 / DC1 / RG1 / NA,No biological endpoint.,"No pollen-deposition, germination, fruit-set, seed, yield or quality outcome"
F05,PV3 | BV1 | DC0 | RG0,EXP-LIT-072,PV3 / BV1 / DC0 / RG0 / A1,Pilot-flown; leaf-deposition proxy only.,"Leaf deposition proxy only; no stigma deposition, fruit set, yield, or quality"
F06,PV3 | BV1–BV4 | DC0–DC2 | RG1–RG2,EXP-LIT-098-2019,PV3 / BV4 / DC2 / RG2 / A2,Autonomous platform; bagged flowers; full denominators.,"Two-orchard 2019 experiment: Newnham SS1504 82.3±2.2%, air-assist 88.7±2.2%, positive control 98.7±0.9%; Hua Kiwi SS1504 71.8±3.8%, air-assist 57.2±4.1%, control 87.1±2.7%; seed counts and fruit weights measured."
F07,PV1 | BV1 | DC0 | RG1,EXP-LIT-101,PV1 / BV1 / DC0 / RG1 / NA,Artificial pistils; paint proxy.,"No real pollen, germination, fertilization, fruit set or harvest outcome"
F08,PV3 | BV3–BV4 | DC0–DC2 | RG2,EXP-LIT-105,PV3 / BV4 / DC2 / RG2 / A1,"Robotic spray action, but platform manually pulled.","Honeycrisp flower fruit set: natural 43.1%, robot 2 g/L 34.8%, robot 1 g/L 15.9%. Fuji: natural 33.1%, robot 2 g/L 7.2%, robot 1 g/L 6.5%; harvest quality measured"
F09,PV2 | BV0 | DC0 | RG1,EXP-LIT-115,PV2 / BV0 / DC0 / RG1 / NA,No biological endpoint.,"No pollen deposition, fruit set, or yield; vibration behavior modelled/simulated"
F10,PV1–PV3 | BV0 | DC0–DC1 | RG1,EXP-LIT-121,PV3 / BV0 / DC1 / RG1 / NA,No biological endpoint.,"No deposition, germination, fruit set, or harvest outcome"
F11,PV1 | BV0 | DC0 | RG1,EXP-LIT-119,PV1 / BV0 / DC0 / RG1 / NA,Artificial plants.,Artificial plants precluded fruit growth and biological verification
F12,PV3 | BV3 | DC1 | RG1,EXP-LIT-120,PV3 / BV3 / DC1 / RG1 / A1,Operator controlled the manipulator from images.,Fruit set 91.3% (21/23) at ≤50 mm; 64.3% (9/14) at 50–100 mm; 33.3% (4/12) natural comparator
F13,PV2 | BV4 | DC2 | RG1,EXP-LIT-172,PV2 / BV4 / DC2 / RG1 / A1,Robot moved manually to each selected flower.,"Robot: 27 Grade-3, 11 Grade-2, 8 Grade-1 and 4 sterile; hand: 33 Grade-3, 6 Grade-2, 7 Grade-1 and 4 sterile. Marketable-weight share 92% robot versus 88% hand; robot had lower fertilized-achene percentage overall (ANOVA p=0.027)."
F14,PV2 | BV1 | DC0 | RG1,EXP-LIT-173,PV2 / BV1 / DC0 / RG1 / A0,"BV4-level fruit-mass result came from HUMAN use of the tool, not the robot. Robot arm reached BV1 only.","Human use of the tool produced 1390 g versus 1069 g fruit mass, a 30.0% increase over passive wind; this is not autonomous robotic BV4 evidence."
F15,PV2 | BV1 | DC0 | RG0,EXP-LIT-174,PV2 / BV1 / DC0 / RG0 / A1,Bimanipulator; qualitative stigma observation only.,Authors qualitatively observed pollen naturally deposit on the stigma; no fruit-set or harvest outcome
F16,PV3 | BV0 | DC0 | RG0,EXP-LIT-175,PV3 / BV0 / DC0 / RG0 / NA,Yield measurement explicitly ongoing.,Yield measurements were explicitly ongoing
