ID,Denominator chain,Success definition,Execution evidence,Biological/agronomic outcome,Denominator completeness
LIT-004,More than 50 experiments; exact total and numerator NR,"Robot approaches, aligns the pollinator with the pistil, and physically contacts the flower centre",86% action success; mAP 90.9%; depth error 1.028 cm; 10 s total cycle (8 s access + 2 s pollinator),"No deposition, fruit-set, yield, or quality outcome",Partial
LIT-038,Percentages and time/pollen metrics reported; raw flower counts NR,Effective pollination = selected flower pistil visibly hit by sprayed pollen droplets,Detection success 98.1%; effective delivery 99.3%; 2.0 s/flower; 0.15 g pollen per 60 flowers,Initial fruit set 88.5%; manual dry 91.7%; electric sprayer 73.3%; hand-held sprayer 81.8%,Incomplete
LIT-048,Proposed vibrator applied to 200 flower clusters; comparator denominators and exact rates NR in text,Fruiting rate = percentage of pollinated flowers that became fruit,AI validation accuracy 87.3%; autonomous search/contact architecture demonstrated,No significant difference between proposed vibrator and bumblebee fruiting rates; hormone treatment slightly lower,Partial
LIT-061,"64 flowers total: Zone 1 n=21, Zone 2 n=23, Zone 3 n=20. Reported detection rates 92%, 93%, 91% and pollination rates 86%, 87%, 82%. Integer success counts are not reported and the percentages are not exactly reconstructable from the zone totals.",Number of flowers successfully targeted/pollinated divided by all flowers in the zone; a trial failed when nozzle-position error caused deviation from the flower centre,"Mean reported targeting/pollination success 85%; 5 s per flower; 78 min/mu, versus external benchmarks of 86 min/mu for manual brush and 64 min/mu for electric pollination","No pollen-deposition, germination, fruit-set, seed, yield or quality outcome",Partial
LIT-072,No replicate or tree count reported,Pollen visually observed on tree leaves after a 3–4 s hover,Quadrotor hovered 3–4 s over trees; field distribution photographed,"Leaf deposition proxy only; no stigma deposition, fruit set, yield, or quality",Not recoverable
LIT-097,Targeting rate and overall fruit-set outcome reported; exact biological denominators require full-text re-extraction,Targeted/pollinated flower; fruit set; produced fruit comparable in quality to commercial fruit,79.5% of flowers individually targeted and pollinated at 3.5 km h−1,Robotically pollinated flowers produced kiwifruit comparable in quality to commercial fruit; overall fruit set approximately 40% and below commercial requirements,Partial
LIT-098,799 robot-treated flowers; 307 positive controls; full group denominators reported,Hit score from visible dye/pollen on styles; fruit set; seed count; fruit weight,SS1504 visible hit 73±2%; paired air-assist visible hit 60±3%; earlier platform targeted 79.5% at 3.5 km/h,"Newnham SS1504 82.3±2.2%, air-assist 88.7±2.2%, positive control 98.7±0.9%; Hua Kiwi SS1504 71.8±3.8%, air-assist 57.2±4.1%, control 87.1±2.7%; seed counts and fruit weights measured at harvest",Complete
LIT-101,"297 visible-pistil flowers; 286 detected; 256 classified Pollinated, 30 Touched and 11 Missed. Physical success = 256/297 = 86.19%.",Pollinated = brush correctly touched the artificial pistil and left red paint; Touched = brush contacted petals/flower but not pistil; Missed = no flower or pistil contact,256/297 successful pistil contacts; 30 off-target flower contacts; 11 misses; total cycle under 19 s per labelled visible-pistil flower,"No real pollen, germination, fertilization, fruit set or harvest outcome",Complete for artificial-target contact
LIT-104,Raw numbers not reported for 2022 or 2023 percentages,2022: target cluster with ≥1 fruit; 2023: detected target flower reported as pollinated by robot,2023 detection 91%; reported target pollination 84%; 4.8 s cycle,2022: 56% of target clusters had ≥1 fruit; 6.5 s cycle,Not recoverable
LIT-105,Complete flower and cluster denominators for six cultivar/treatment cohorts,Fruit set per assessed flower and cluster; fruit-quality metrics at harvest,Automated target detection/manipulation; platform movement manual,"Honeycrisp flower fruit set: natural 43.1%, robot 2 g/L 34.8%, robot 1 g/L 15.9%. Fuji: natural 33.1%, robot 2 g/L 7.2%, robot 1 g/L 6.5%; harvest quality measured",Complete
LIT-115,40 grasp trials: 8 tomato and 32 pepper,Correct grasp of main stem; failure = side branch grasp or manipulator 7-DoF pose error,"37/40 successful grasps (92.5%): tomato 6/8 (75.0%), pepper 31/32 (96.9%)","No pollen deposition, fruit set, or yield; vibration behavior modelled/simulated",Complete
LIT-118,Number of experiments not reported in extractable text,"Desired pose, alignment with pistil, and physical contact between pollinator tip and flower centre",mAP 91.2%; action success 83%; depth discrepancy 1.19 cm,"No biological flower, deposition, fertilization, or fruit outcome",Incomplete
LIT-119,20 experiments: four arm configurations repeated five times; target-attempt denominator NR,End-effector tip makes contact with artificial flower,More than 1.5 attempts/min; approximately 50% contact success,Artificial plants precluded fruit growth and biological verification,Partial
LIT-120,Robot ≤50 mm: 21/23; robot 50–100 mm: 9/14; natural: 4/12,Fruit set = fruit/flower,"Operator controlled positioning; approximately 16.6 s pure robot motion per flower, <55 s including manual visual input",Fruit set 91.3% (21/23) at ≤50 mm; 64.3% (9/14) at 50–100 mm; 33.3% (4/12) natural comparator,Complete
