ID,Target-linked stigma receipt,Germination,Pollen-tube progression,Biological attribution assessable,Attribution code,Biological/source note
LIT-004,NO,NO,NO,NOT APPLICABLE,NA,
LIT-038,NO,NO,NO,YES,A2,
LIT-048,NO,NO,NO,YES,A2,
LIT-061,NO,NO,NO,NOT APPLICABLE,NA,
LIT-072,NO,NO,NO,YES,A1,
LIT-097,NOT ASSESSABLE,NOT ASSESSABLE,NOT ASSESSABLE,YES,A2,Source-limited negative adjudication; high-level autonomy remains assessable.
LIT-098,NO,NO,NO,YES,A2,
LIT-101,NO,NO,NO,NOT APPLICABLE,NA,
LIT-104,NO,NO,NO,YES,A1,
LIT-105,NO,NO,NO,YES,A1,
LIT-115,NO,NO,NO,NOT APPLICABLE,NA,
LIT-118,NO,NO,NO,NOT APPLICABLE,NA,
LIT-119,NO,NO,NO,NOT APPLICABLE,NA,
LIT-120,NO,NO,NO,YES,A1,
LIT-121,NO,NO,NO,NOT APPLICABLE,NA,
LIT-125,NO,NO,NO,NOT APPLICABLE,NA,
LIT-172,NO,NO,NO,YES,A1,
LIT-173,NO,NO,NO,YES,A0,
LIT-174,NO,NO,NO,YES,A1,
LIT-175,NO,NO,NO,NOT APPLICABLE,NA,
LIT-176,NO,NO,NO,UNCLEAR,A1?,
LIT-195,NO,NO,NO,NOT APPLICABLE,NA,
LIT-196,NO,NO,NO,NOT APPLICABLE,NA,
LIT-200,NO,NO,NO,UNCLEAR,A1?,
LIT-227,NO,NO,NO,YES,A2,
LIT-236,NO,NO,NO,YES,A2,
LIT-238,NO,NO,NO,YES,A2,
LIT-221,NO,NO,NO,YES,A2,
LIT-338,NO,NO,NO,YES,A1,
LIT-339,NO,NO,NO,YES,A1,
