ID,Quantified stigma receipt,Receipt evidence category,Pollen germination/tube growth measured,Downstream fertilisation/seed proxy,Critical limitations,Source locator,URL
LIT-004,No,Not measured,No,No,"Success is contact/pose execution, not biological pollination; exact trial denominator not stated.",Results/Table 6 and success-criterion paragraph,https://doi.org/10.1016/j.compag.2024.108753
LIT-038,No,Not measured,No,No,Raw denominators are not reported in the extracted table; open-orchard pollinator exposure and unit assignment are unresolved.,Field evaluation; Table 2,https://doi.org/10.1016/j.compag.2023.107762
LIT-048,No,Not measured,No,No,Exact group-specific fruiting percentages and comparator sample sizes are not given in extractable text; biological test-to-full-autonomy linkage requires cautious interpretation.,Section IV/field experiment; Fig. 18; page 9,https://doi.org/10.1109/ACCESS.2023.3312151
LIT-061,No,Not measured,No,No,"The 85% endpoint is robot targeting/spray execution, not biological pollination. Comparator values came from another publication. Reported percentages are not integer-compatible with the stated zone denominators.",Section 6.2; Table 5; Section 7; Table 6,https://doi.org/10.1016/j.compag.2022.107114
LIT-072,No,Leaf-deposition proxy; not stigma receipt,No,No,Pilot controlled; qualitative leaf deposition was treated as success; no biological endpoint.,"Field experiment and Fig. 13, page 5",https://doi.org/10.1109/ICRoM54204.2021.9663500
LIT-097,No,Not measured,No,No,Earlier field experiment with low overall fruit set; exact denominator chain and control integrity require dedicated full-text re-extraction. Must not carry the 2021 two-orchard data.,Journal of Field Robotics 37:246–262; DOI 10.1002/rob.21861,https://doi.org/10.1002/rob.21861
LIT-098,No,Not measured,No,Yes,Negative controls were contaminated/failed; no randomisation; pollen consumption up to 4.6 kg ha−1; site and nozzle effects were large.,Field Robotics 1:231–252; Sections 5–8; Tables 3–5,https://doi.org/10.55417/fr.2021009
LIT-101,No,Artificial-pistil paint-transfer surrogate,No,No,"The reported 'pollination' endpoint is paint transfer to an artificial pistil. The ground vehicle was proposed for deployment, but the biological effectiveness of the integrated system was not tested.",Section 4.6; Table 4; Table 5; Section 4.8,https://doi.org/10.1016/j.compag.2023.108274
LIT-104,No,Not measured,No,No,Different years and verification stages cannot be chained; 'yield data promising' lacks recoverable data; manual platform driving.,"IROS extended paper, abstract and Results",https://arxiv.org/abs/2311.10755
LIT-105,No,Not measured,No,No,"Small unequal cohorts, netting effects, no randomised treatment assignment, single robotic visit versus repeated natural visitation.",Methods and fruit-set/quality tables,https://doi.org/10.1016/j.compag.2025.110158
LIT-115,No,Not measured,No,No,"The 92.5% value is grasping success, not pollination efficacy; preprint; fruit-set validation deferred.",Real-world grasping experiments; Table I,https://arxiv.org/abs/2510.06146
LIT-118,No,Not measured,No,No,Artificial plant and contact-only success; no greenhouse or biological validation.,"Section 3.3.4, pages 20–21",https://doi.org/10.1017/S0263574724001243
LIT-119,No,Not measured,No,No,Multi-agent system but no real flowers; failures caused flowers leaving camera view during arm motion.,Experimental validation and Fig. 7,https://arxiv.org/abs/2404.03489
LIT-120,No,Not measured,No,No,"Manual control, very small groups, comparator in a different environment, no blinded/random assignment.",Section V; Fig. 17; Table 2,https://doi.org/10.1109/ACCESS.2024.3469784
LIT-121,No,Not measured,No,No,"The statistically compared endpoint is execution, not biological pollination; no target-level denominator chain.",Greenhouse validation; Tables 6–7,https://doi.org/10.3389/fpls.2026.1771732
LIT-125,No,Not measured,No,No,High-fidelity artificial flowers; success is anther contact; orientation and blind approach caused failures.,Section VIII; Table II; pages 7–8,https://doi.org/10.1109/IROS40897.2019.8967752
LIT-172,No,Not measured,No,Yes,Robot placement was manual; only one cultivar and controlled facility; allocation procedure between methods was not fully reconstructable.,"Methods, fruit-grade table, ANOVA Table 2",https://doi.org/10.48130/TIH-2023-0019
LIT-173,No,Microscopic/visible-pollen proxy; no quantified stigma load,No,No,The fully integrated robot was not evaluated for downstream fruit outcome on real plants; biological result came from manual tool use.,Integrated system experiments; Table II and Section IV-C3,https://arxiv.org/abs/2409.12311
LIT-174,No,Qualitative stigma-deposition observation only,No,No,"Qualitative observation only; no raw denominator, comparator, fertilization or fruit outcome.","Experimental results, pages 3–4",https://eventos.upm.es/getFiles/hash/OidjNmBjM1QjNwYWO0EWO3QjYhhjZkJTYYGN5gDO0gD%3Ad0N4Qkw2Y3dLcTJLUnRVOTFuN25BbWM3eWlpVmJzUkhUdjZSVkU2NVdtYXVvaElzNWJPTld5anNrQWRmOHliQVRicVdhZjRPWGQ0d2tHQjhDNFBVajQ3ZnpLSm5ra0x3MklmcXkxa0VIczA4dVZtenpyOHZVNGxxVU9QczlCUWc1OE5nUEEzcHZtdzltRWU0bHZGaTRRLysvOGpKYlg1UnVkbjR3ZFowWWRkaU1zanlMTmRiYnlSeC82SUYxV3dQaW5Nc21ENHBwSGJRbkdRRTNQK1Y5VW1VZU0vbmp2eFhrd3FnQjUyV3doUFlHWUxwSEE0WSs2Tzc2TXZFTUVlZGxseENFdldYRlNMK2h6LzRtSU1zK1E9PQ%3D%3D
LIT-175,No,Not measured,No,No,Proceedings-stage prototype; no pollen-deposition or fruit-yield evidence; no denominator chain.,"Abstract, system description and conclusion",https://doi.org/10.3390/ECSA-12-26572
LIT-176,No,Not measured,No,No,"The paper states '100 pollination runs' but Table 4 contains 1,828 manually counted flower targets. Biological group assignment, baseline comparability and blinding are not reported. The mobile robot was positioned in front of plants, and future work explicitly proposes SLAM for fully autonomous movement.",Equation 17; Section 3.2; Tables 4–6; Figure 14; Section 3.3,https://doi.org/10.1016/j.compag.2025.111139
LIT-195,No,Not measured,No,No,"The 95% 'pollination success' is collision-free path-planning success on a simulated tree, not flower contact or biological pollination.",Sections 3.2–3.3; Table 4; Figure 16; Figure 17,https://doi.org/10.1016/j.compag.2025.110063
LIT-196,No,Not measured,No,No,"The action trial used artificial flowers, manual/loiter flight and a stationary drone. 'Successful attempts' are actuator triggers rather than verified contact, deposition or fruit set.",Sections 2.4.1–2.4.2; Section 2.6; Figure 6; Figure 15; Results,https://doi.org/10.1016/j.atech.2025.101150
LIT-200,No,Not measured,No,No,Treatment assignment was spatial and non-random; 2024 flowers were selected and bagged after treatment; 2024 nozzle type and application frequency were confounded; the 2025 H-zone entry is 55/50 with an 88% rate; actual chassis autonomy during the agronomic trials is not clearly stated.,Materials and Methods; Tables 3–4 and 8–11; Figures 13–23; Sections 5.2–5.3,https://doi.org/10.1016/j.compag.2025.111250
LIT-227,No,Not measured,No,Yes,"Distinct spatial comparator zones, incomplete raw denominators, uncontrolled natural pollination, wind drift and different thinning/selection practices. Same programme as earlier Gao single-nozzle robot but a distinct multinozzle experiment.","Sections 2.5–3.4; Table 2; Figures 12, 16–17",https://doi.org/10.1002/rob.22499
LIT-236,No,Not measured,No,No,"Single demonstration area per method, no statistical comparison, incomplete denominators and no direct deposition measure. Possible companion/follow-up relation with the 2026 electrostatic Japanese-pear paper remains unresolved.",Section 6.2; Table 3; Discussion and Summary,https://doi.org/10.3390/agriengineering7030068
LIT-238,No,Brush–stigma contact confirmation; no pollen-load measurement,No,Yes,Crop genome editing is a necessary co-intervention; no random treatment assignment; flower/row interference and resource competition unmodelled; some exact flower-level denominators only shown as group ranges.,Figures 4–5; main Results pp. 5816–5819; STAR Methods,https://doi.org/10.1016/j.cell.2025.07.028
LIT-221,No,Adhesive-sheet spatial deposition; not stigma receipt,No,No,"No randomised treatment allocation; unbalanced tree replication; cluster-within-tree hierarchy analysed mainly at cluster level; possible cross-treatment interference; no direct pollen viability, charge-to-mass, stigma receipt or harvest-quality measurements.",Sections 2.1–2.5 and 3.1–3.5; Tables 2–3; Figures 8–12,https://doi.org/10.1016/j.atech.2026.102108
LIT-338,No,Visible flower-hit / release evidence; not quantified stigma receipt,No,No,Manual platform control in the reported experiment; overspraying produced more shots than flowers; pollen use was economically excessive; no direct stigma-load or biological outcome.,"Barnett et al. 2017 full paper, Sections 3.1–4; pp. 4–7",https://hdl.handle.net/10289/11803
LIT-339,No,Visible flower-hit / release evidence; not quantified stigma receipt,No,No,Companion report of the same initial AMMP evaluation; must not be counted as an independent experiment.,Zenodo record 895619; ACPA Paper 300,https://doi.org/10.5281/zenodo.895619
