Family ID,Programme family,Publication IDs,Independent experiments,Crop(s),Platform / mechanism,Membership and counting note
F01,Ahmad watermelon visual-servo,LIT-004,1,Watermelon,Vision-guided robotic arm; mobile base not autonomous / Contact pollinator aligned to flower pistil,1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F02,Gao/Cao kiwifruit targeting-robot programme,"LIT-038, LIT-227",2,Kiwifruit,"Crawler mobile robot, vision, arm, and air–liquid spray system / Targeted liquid pollen droplets aimed at pistil; Crawler chassis, Jetson Xavier NX, RGB-D vision, robotic arm and multinozzle air–liquid spray end effector / Vision-selected, multinozzle targeted liquid-pollen spray",2 report(s) map to 2 experiment(s). Report and experiment counts coincide.
F03,Hiraguri tomato-drone programme,LIT-048,1,Tomato,Autonomous drone carrying contact-triggered vibration device / Approximately 5 s mechanical vibration of the petiole,1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F04,Li/Cui lightweight kiwifruit-arm programme,LIT-061,1,Kiwifruit,"Wheeled intermittent-stop platform, binocular vision and lightweight six-DOF robotic arm / Point-to-point liquid spray nozzle guided to the flower centre and orientation",1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F05,Mazinani walnut aerial robot,LIT-072,1,Walnut,Pilot-controlled quadrotor carrying pollen tank / Aerial broadcasting of pollen,1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F06,Auckland/Waikato kiwifruit programme,"LIT-097, LIT-098, LIT-338, LIT-339",3,Kiwifruit,"Autonomous mobile kiwifruit pollination platform with CNN flower detection, targeting and air-assisted wet-pollen spray / Vision-guided targeted liquid-pollen spray; Autonomous mobile platform with two vision-guided spray modules and boom-height control / Air-assist or SS1504 wet-pollen spray; AMMP platform carrying two dynamic, vision-guided 40-nozzle wet-pollen spray manifolds / CNN-guided liquid-pollen spray while the platform traversed orchard rows",4 report(s) map to 3 experiment(s). Companion reports share an experiment where stated in Table S7.
F07,CASIA forsythia-arm programme,LIT-101,1,Forsythia,"DETR flower detector, PSTL_Orient pistil detector, RealSense D435i, UR5 arm and Robotiq gripper / Wool-ball brush contact; red paint replaced pollen to visualize whether the brush contacted the artificial pistil",1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F08,WSU apple precision-pollination programme,"LIT-104, LIT-105",2,Apple (Envy); Apple (Honeycrisp and Fuji),Vision-guided manipulator and spray nozzle; platform driven manually between rows / Targeted pollen suspension spray from 25 cm; Vision-guided manipulator and pollen sprayer; platform manually pulled / 2 s spray of 1 or 2 g/L pollen suspension,2 report(s) map to 2 experiment(s). Report and experiment counts coincide.
F09,Jeong/Jawed controlled-environment system,LIT-115,1,Tomato and pepper plants,"RGB-D 3D reconstruction, safe stem-grasp planning, soft gripper and vibration model / Stem grasping followed by controlled vibration",1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F10,Singh tomato pollination programme,"LIT-118, LIT-121",2,Tomato,"UR5 visual-servo pollination system using YOLOv8 and depth estimation / Contact pollinator; YOLOv8, PnP 6D pose, manipulator and Air Pollenmatic nozzle / Non-contact air pulse",2 report(s) map to 2 experiment(s). Report and experiment counts coincide.
F11,WVU BrambleBee/Stickbug programme,"LIT-119, LIT-125",2,Bramble (artificial plants); Bramble (high-fidelity artificial flowers),Autonomous mobile base plus six arm agents coordinated by a referee / End-effector contact with flower; Autonomous BrambleBee flower-interaction subsystem / Contact end-effector with cotton transfer surface,2 report(s) map to 2 experiment(s). Report and experiment counts coincide.
F12,Masuda suspended tomato robot,LIT-120,1,Tomato,"Rail-suspended platform, continuum manipulator and blower; operator controlled from images / Blasting air pulses to shake flower",1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F13,HarvestX strawberry programme,LIT-172,1,Strawberry (Yotsuboshi),HarvestX XV3-Unit with Bonten pollination brush; robot moved manually to selected flowers / Five-second circular brush motion,1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F14,Kong/Kousik microscopic strawberry system,LIT-173,1,Strawberry,"Kinova 7-DoF arm with RGB-D global scope, endoscope, 2-DoF microscope and vibrating pollination tool / Buzz vibration combined with microscopic contact/pollen inspection",1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F15,CAR CSIC-UPM soft pollination tool,LIT-174,1,Cherry tomato and eggplant,Bimanipulator robot with RGB and time-of-flight cameras and additive-manufactured soft pollination tool / Soft rotating pollen-collection head plus airflow dissemination,1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F16,Sri Lanka IoT strawberry rover,LIT-175,1,Strawberry,Low-cost IoT rover with ESP32-CAM and Arduino-controlled robotic arm / Brush and vibration end effector,1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F17,Li/Jin facility-tomato vibration robot,LIT-176,1,Tomato,"Mobile platform, RealSense D415, YOLO-MAF flowering detector, MGFF position estimator, robotic arm and vibration end effector / End effector advances around the target and vibrates the flower-cluster stalk for 3 s after PVDF contact detection",1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F18,Ni chili-arm path-planning system,LIT-195,1,Chili,Six-DOF ROKAE XB7 arm with PSBI-RRT motion planning / Paintbrush end effector guided along a collision-free path,1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F19,YOLOv5s-Im apple-drone programme,LIT-196,1,Apple,"Manually flown quadcopter in loiter mode with Raspberry Pi 4B, RGB camera, YOLOv5s-Im and a 12-V brush actuator / Detection at ≥70% confidence triggered an L298-driven motorized pollen brush",1 report(s) map to 1 experiment(s). Report and experiment counts coincide.
F20,Hao/Cui precision-liquid kiwifruit programme,LIT-200,2,Kiwifruit,"Tracked platform, LiDAR, UR5 arm, RealSense D435i, precision liquid system, meteorological sensor and wind-compensation controller / Approximately 330 μL single-shot liquid-pollen spray with nozzle-specific delivery and optional wind compensation",1 report(s) map to 2 experiment(s). Companion reports share an experiment where stated in Table S7.
F21,Miyoshi/Hiraguri/Shimizu Japanese-pear drone programme,"LIT-236, LIT-221",2,Japanese pear,"Holybro X500 V2 drone with AI flower detection, RTK-GNSS/OFFBOARD flight and automatic pollen sprayer / Autonomous positioning followed by four-second upward pollen spray; Autonomous drone with RTK-GNSS, Intel RealSense D435i, YOLO RGB-D flower-cluster detection, ROS/QGroundControl OFFBOARD control and −12 kV electrostatic powder sprayer / AI-guided autonomous non-contact powder spraying with electrostatic charging",2 report(s) map to 2 experiment(s). Report and experiment counts coincide.
F22,GEAIR crop-robot co-design and hybrid-breeding programme,LIT-238,2,Tomato; soybean transfer demonstrated genetically,"GEAIR mobile robot with UWB or track navigation, UR5 arm, RGB-D sensing, YOLACT_Orient, visual servoing and pollen brush / Learned flower/stigma detection followed by brush-based cross-pollination",1 report(s) map to 2 experiment(s). Companion reports share an experiment where stated in Table S7.
