ID,Crop,Setting,Full-text status,Robot/system,Target unit,Mechanism
LIT-004,Watermelon,Three open-field farms plus controlled laboratory,Full text reviewed,Vision-guided robotic arm; mobile base not autonomous,Individual flower,Contact pollinator aligned to flower pistil
LIT-038,Kiwifruit,Commercial orchard; experimental zones within the same orchard,Full text reviewed,"Crawler mobile robot, vision, arm, and air–liquid spray system",Suitable individual flower,Targeted liquid pollen droplets aimed at pistil
LIT-048,Tomato,Greenhouse tomato field with motion-capture/flight-control infrastructure,Full text reviewed,Autonomous drone carrying contact-triggered vibration device,Pollinable tomato flower/cluster,Approximately 5 s mechanical vibration of the petiole
LIT-061,Kiwifruit,"Kiwifruit test station, Mei County, Shaanxi; natural trellis-grown kiwifruit; three randomly selected 2 × 2 m pollination zones",Full text reviewed,"Wheeled intermittent-stop platform, binocular vision and lightweight six-DOF robotic arm",Individual female kiwifruit flower,Point-to-point liquid spray nozzle guided to the flower centre and orientation
LIT-072,Walnut,Walnut orchard field demonstration,Full text reviewed,Pilot-controlled quadrotor carrying pollen tank,Tree canopy,Aerial broadcasting of pollen
LIT-097,Kiwifruit,Commercial kiwifruit orchard field trial; earlier experiment preceding the 2019 two-orchard evaluation,Publisher abstract and indexed full-text excerpts reviewed; publication identity verified,"Autonomous mobile kiwifruit pollination platform with CNN flower detection, targeting and air-assisted wet-pollen spray",Individual kiwifruit flower,Vision-guided targeted liquid-pollen spray
LIT-098,Kiwifruit,"Three areas in two commercial orchards, Tauranga, New Zealand",Open full text reviewed,Autonomous mobile platform with two vision-guided spray modules and boom-height control,Tagged individual flowers,Air-assist or SS1504 wet-pollen spray
LIT-101,Forsythia,Greenhouse arrangement of 12 plants carrying high-fidelity artificial forsythia flowers,Full text reviewed,"DETR flower detector, PSTL_Orient pistil detector, RealSense D435i, UR5 arm and Robotiq gripper",Visible pistil of a high-fidelity artificial forsythia flower,Wool-ball brush contact; red paint replaced pollen to visualize whether the brush contacted the artificial pistil
LIT-104,Apple (Envy),Commercial apple orchard; 2022 and 2023 cohorts,Full extended paper reviewed,Vision-guided manipulator and spray nozzle; platform driven manually between rows,King flower/flower cluster,Targeted pollen suspension spray from 25 cm
LIT-105,Apple (Honeycrisp and Fuji),Two Washington orchard sites,Full text reviewed,Vision-guided manipulator and pollen sprayer; platform manually pulled,Tagged flowers and clusters,2 s spray of 1 or 2 g/L pollen suspension
LIT-115,Tomato and pepper plants,Controlled environment; 10 morphologically diverse real plants,Full text reviewed,"RGB-D 3D reconstruction, safe stem-grasp planning, soft gripper and vibration model",Main plant stem,Stem grasping followed by controlled vibration
LIT-118,Tomato,Laboratory with a 3D-printed tomato plant,Full text reviewed,UR5 visual-servo pollination system using YOLOv8 and depth estimation,3D-printed flower centre,Contact pollinator
LIT-119,Bramble (artificial plants),Greenhouse using artificial plants,Full text reviewed,Autonomous mobile base plus six arm agents coordinated by a referee,Artificial bramble flower,End-effector contact with flower
LIT-120,Tomato,Greenhouse robot trial plus natural comparator outside greenhouse,Full text reviewed,"Rail-suspended platform, continuum manipulator and blower; operator controlled from images",Individual tomato flower,Blasting air pulses to shake flower
LIT-121,Tomato,Real greenhouse trials,Full text reviewed,"YOLOv8, PnP 6D pose, manipulator and Air Pollenmatic nozzle",Reachable tomato flower,Non-contact air pulse
LIT-125,Bramble (high-fidelity artificial flowers),Laboratory/artificial bramble plant,Full text reviewed,Autonomous BrambleBee flower-interaction subsystem,Artificial flower and anthers,Contact end-effector with cotton transfer surface
LIT-172,Strawberry (Yotsuboshi),Plant factory with artificial lighting; controlled indoor production,Full text/HTML reviewed,HarvestX XV3-Unit with Bonten pollination brush; robot moved manually to selected flowers,Individual flower and harvested fruit,Five-second circular brush motion
LIT-173,Strawberry,Robotic laboratory/indoor-farming experiments; artificial-plant integrated test plus real-flower subsystem tests,Full text/HTML reviewed,"Kinova 7-DoF arm with RGB-D global scope, endoscope, 2-DoF microscope and vibrating pollination tool",Individual strawberry flower,Buzz vibration combined with microscopic contact/pollen inspection
LIT-174,Cherry tomato and eggplant,Hydroponic greenhouse; spring 2024,Full text/PDF reviewed,Bimanipulator robot with RGB and time-of-flight cameras and additive-manufactured soft pollination tool,Individual flower,Soft rotating pollen-collection head plus airflow dissemination
LIT-175,Strawberry,Open-field raised beds; preliminary field tests,Full text/HTML reviewed,Low-cost IoT rover with ESP32-CAM and Arduino-controlled robotic arm,Individual flower,Brush and vibration end effector
LIT-176,Tomato,"Facility tomato greenhouse, Luoyang; Dutch Pink Belle plants; indoor validation under 23–25 °C and 65–70% RH",Full text reviewed,"Mobile platform, RealSense D415, YOLO-MAF flowering detector, MGFF position estimator, robotic arm and vibration end effector",Opening tomato flowers and flower-cluster stalks,End effector advances around the target and vibrates the flower-cluster stalk for 3 s after PVDF contact detection
LIT-195,Chili,MATLAB/RokaeStudio simulation plus a physical ROKAE XB7 arm operating on a simulated chili tree,Full text reviewed,Six-DOF ROKAE XB7 arm with PSBI-RRT motion planning,Simulated chili-flower target pose,Paintbrush end effector guided along a collision-free path
LIT-196,Apple,Outdoor controlled flight test using artificial apple flowers mounted on a 5-ft stand,Full text reviewed,"Manually flown quadcopter in loiter mode with Raspberry Pi 4B, RGB camera, YOLOv5s-Im and a 12-V brush actuator",Artificial apple flower,Detection at ≥70% confidence triggered an L298-driven motorized pollen brush
