Family ID,Comparator / assignment summary,Principal limitation,Linkage confidence,Linkage basis
F01,Comparator: None | Assignment: Targets detected/selected by vision; assignment probability NR | Randomisation: No,"Success is contact/pose execution, not biological pollination; exact trial denominator not stated.",High,Sole publication
F02,"Comparator: Manual dry pollination; electric sprayer; hand-held sprayer; Hand pollination and electric liquid sprayer in separate orchard zones | Assignment: Orchard zones described as randomly divided; unit-level treatment assignment not reconstructable | Randomisation: Unclear; Five subregions; robot experimental zone randomly selected within each. Treatment-method allocation among robot, hand and electric-sprayer zones not randomised | Randomisation: No/unclear","Distinct spatial comparator zones, incomplete raw denominators, uncontrolled natural pollination, wind drift and different thinning/selection practices. Same programme as earlier Gao single-nozzle robot but a distinct multinozzle experiment.",High,Distinct experiment within programme
F03,Comparator: Bumblebees and hormone treatment | Assignment: AI flower-shape classifier and programmed search; experimental assignment procedure NR | Randomisation: No/NR,Exact group-specific fruiting percentages and comparator sample sizes are not given in extractable text; biological test-to-full-autonomy linkage requires cautious interpretation.,High,Sole publication
F04,Comparator: External literature benchmarks for writing-brush and electric-pollinator methods; not concurrent controls | Assignment: Pollinating positions were described as randomly selected and divided into three zones; no randomised treatment comparison,"The 85% endpoint is robot targeting/spray execution, not biological pollination. Comparator values came from another publication. Reported percentages are not integer-compatible with the stated zone denominators.",High,"The 85% endpoint is robot targeting/spray execution, not biological pollination. Comparator values came from another publication. Integer numerators are not reported. Under ±0.5 pp rounding, the 86% (18/21) and 87% (20/23) pollination rates are compatible with the stated zone totals; all three detection rates and the 82% Zone-3 pollination rate are not."
F05,Comparator: None | Assignment: Pilot-selected tree/flight; no treatment assignment protocol | Randomisation: No,Pilot controlled; qualitative leaf deposition was treated as success; no biological endpoint.,High,Sole publication
F06,Comparator: Commercial Cambrian wet-pollination practice and conventionally grown fruit; Bee-pollinated positive controls and attempted negative controls; Commercial Cambrian sprayer used for operational pollen-consumption context; no biological control arm | Assignment: No randomised or documented stochastic-probability assignment reported | Randomisation: No/NR; Areas divided into fixed strips by nozzle; flowers tagged/bagged; no randomised treatment assignment | Randomisation: No; No biological treatment assignment; platform movement was manually controlled during the reported experiment,Negative controls were contaminated or failed; no randomised allocation; pollen use reached 4.6 kg/ha; site and nozzle effects were substantial.,High,Distinct 2020 journal experiment; preceded the 2021 two-orchard experiment; Distinct 2019 two-orchard experiment following the 2020 Journal of Field Robotics study; Primary report of the 2016 AMMP initial evaluation; companion to LIT-339; Companion report of the same 2016 AMMP experiment as LIT-338; does not add an experiment
F07,Comparator: None | Assignment: All visible-pistil flowers on 12 arranged plants were attempted; no treatment assignment,"The reported 'pollination' endpoint is paint transfer to an artificial pistil. The ground vehicle was proposed for deployment, but the biological effectiveness of the integrated system was not tested.",High,Sole publication
F08,Comparator: No adequately described concurrent comparator; Stage-matched tagged natural-pollination flowers | Assignment: Vision-selected target flowers; probabilities and eligibility denominator NR | Randomisation: No; Comparison flowers randomly selected/tagged; robotic treatment itself not randomly assigned | Randomisation: No treatment randomisation,"Small unequal cohorts, netting effects, no randomised treatment assignment, single robotic visit versus repeated natural visitation.",High,Distinct experiment within programme
F09,Comparator: No biological comparator | Assignment: Four viewpoints per plant; no treatment assignment | Randomisation: No,"The 92.5% value is grasping success, not pollination efficacy; preprint; fruit-set validation deferred.",High,Sole publication
F10,Comparator: None; Contact robotic method | Assignment: Artificial flower posed at varied orientations; trial count NR | Randomisation: No; Reachable detected flowers; assignment probabilities NR | Randomisation: No,"The statistically compared endpoint is execution, not biological pollination; no target-level denominator chain.",High — merge confirmed,Distinct experiment within programme
