Library ID,Primary stream,Evidence role,Screening depth,Classification confidence,Changed from earlier stream,Human confirmation,Review note
LIT-001,Contextual/non-intervention evidence,biological/agronomic foundation,Reference-list harvested,Medium,No,Yes,Classification is complete but should be confirmed during human editorial review because the available record is title/annotation based.
LIT-002,Contextual/non-intervention evidence,biological/agronomic foundation,Reference-list harvested,High,No,No,
LIT-003,Mechanized artificial pollination,mechanized comparator,Reference-list harvested,High,No,No,
LIT-004,Direct empirical robotic pollination,direct robotic evidence,Reference-list harvested,High,Yes,No,
LIT-005,Contextual/non-intervention evidence,ecology/governance/economics,Reference-list harvested,High,No,No,
LIT-006,Contextual/non-intervention evidence,ecology/governance/economics,Reference-list harvested,High,No,No,
LIT-007,Mechanized artificial pollination,mechanized comparator,Reference-list harvested,High,No,No,
LIT-008,Mechanized artificial pollination,mechanized comparator,Reference-list harvested,High,No,No,
LIT-009,Enabling robotic-pollination evidence,platform/end effector,Reference-list harvested,Medium,No,Yes,Classification is complete but should be confirmed during human editorial review because the available record is title/annotation based.
LIT-010,Conceptual/prototype robotic pollination,perception/localisation,Reference-list harvested,High,Yes,No,
LIT-011,Mechanized artificial pollination,mechanized comparator,Reference-list harvested,High,No,No,
LIT-012,Contextual/non-intervention evidence,biological/agronomic foundation,Reference-list harvested,High,No,No,
LIT-013,Enabling robotic-pollination evidence,platform/end effector,Reference-list harvested,Medium,No,Yes,Classification is complete but should be confirmed during human editorial review because the available record is title/annotation based.
LIT-014,Contextual/non-intervention evidence,biological/agronomic foundation,Reference-list harvested,High,No,No,
LIT-015,Contextual/non-intervention evidence,review/synthesis,Reference-list harvested,High,Yes,No,
LIT-016,Enabling robotic-pollination evidence,platform/end effector,Reference-list harvested,Medium,No,Yes,Classification is complete but should be confirmed during human editorial review because the available record is title/annotation based.
LIT-017,Contextual/non-intervention evidence,review/synthesis,Reference-list harvested,High,No,No,
LIT-018,Conceptual/prototype robotic pollination,platform/end effector,Reference-list harvested,High,Yes,No,
LIT-019,Enabling robotic-pollination evidence,platform/end effector,Reference-list harvested,Medium,No,Yes,Classification is complete but should be confirmed during human editorial review because the available record is title/annotation based.
LIT-020,Contextual/non-intervention evidence,review/synthesis,Reference-list harvested,High,No,No,
LIT-021,Contextual/non-intervention evidence,ecology/governance/economics,Reference-list harvested,High,No,No,
LIT-022,Mechanized artificial pollination,mechanized comparator,Reference-list harvested,High,No,No,
LIT-023,Conceptual/prototype robotic pollination,perception/localisation,Reference-list harvested,High,Yes,No,
LIT-024,Contextual/non-intervention evidence,ecology/governance/economics,Reference-list harvested,High,No,No,
LIT-025,Contextual/non-intervention evidence,ecology/governance/economics,Reference-list harvested,High,No,No,
LIT-026,Contextual/non-intervention evidence,biological/agronomic foundation,Reference-list harvested,High,No,No,
