LIT ID,Citation,Family,Source locator,Persistent source
LIT-004,"Ahmad et al. (2024), Accurate and robust pollinations for watermelons using intelligence guided visual servoing",F01,Results/Table 6 and success-criterion paragraph,https://doi.org/10.1016/j.compag.2024.108753
LIT-038,"Gao et al. (2023), A novel pollination robot for kiwifruit flower based on preferential flowers selection and precisely target",F02,Field evaluation; Table 2,https://doi.org/10.1016/j.compag.2023.107762
LIT-048,"Hiraguri et al. (2023b), Autonomous Drone-Based Pollination System Using AI Classifier to Replace Bees for Greenhouse Tomato Cultivation",F03,Section IV/field experiment; Fig. 18; page 9,https://doi.org/10.1109/ACCESS.2023.3312151
LIT-061,"Li et al. (2022c), Design of a lightweight robotic arm for kiwifruit pollination",F04,Section 6.2; Table 5; Section 7; Table 6,https://doi.org/10.1016/j.compag.2022.107114
LIT-072,"Mazinani et al. (2021), Design and manufacture of an aerial pollinator robot for walnut trees",F05,"Field experiment and Fig. 13, page 5",https://doi.org/10.1109/ICRoM54204.2021.9663500
LIT-097,"Williams et al. (2020), Autonomous pollination of individual kiwifruit flowers: Toward a robotic kiwifruit pollinator",F06,Journal of Field Robotics 37:246–262; DOI 10.1002/rob.21861,https://doi.org/10.1002/rob.21861
LIT-098,"Williams et al. (2021), Evaluating the quality of kiwifruit pollinated with an autonomous robot",F06,Field Robotics 1:231–252; Sections 5–8; Tables 3–5,https://doi.org/10.55417/fr.2021009
LIT-101,"Yang et al. (2023), Delivery of pollen to forsythia flower pistils autonomously and precisely using a robot arm",F07,Section 4.6; Table 4; Table 5; Section 4.8,https://doi.org/10.1016/j.compag.2023.108274
LIT-104,"Sapkota et al. (2023), Robotic pollination of apples in commercial orchards",F08,"IROS extended paper, abstract and Results",https://doi.org/10.48550/arXiv.2311.10755
LIT-105,"Bhattarai et al. (2025), A vision-based robotic system for precision pollination of apples",F08,Methods and fruit-set/quality tables,https://doi.org/10.1016/j.compag.2025.110158
LIT-115,"Jeong et al. (2025), Vision-guided targeted grasping and vibration for robotic pollination in controlled environments",F09,Real-world grasping experiments; Table I,https://doi.org/10.48550/arXiv.2510.06146
LIT-118,"Singh et al. (2025), Robust pollination for tomato farming using deep learning and visual servoing",F10,"Section 3.3.4, pages 20–21",https://doi.org/10.1017/S0263574724001243
LIT-119,"Smith et al. (2024), Design of Stickbug: A Six-Armed Precision Pollination Robot",F11,Experimental validation and Fig. 7,https://doi.org/10.1109/IROS58592.2024.10801406
LIT-120,"Masuda et al. (2024), A Suspended Pollination Robot With a Flexible Multi-Degrees-of-Freedom Manipulator for Self-Pollinated Plants",F12,Section V; Fig. 17; Table 2,https://doi.org/10.1109/ACCESS.2024.3469784
LIT-121,"Singh et al. (2026), YOLOv8–PnP fusion architecture for non-contact robotic pollination in greenhouse tomato production",F10,Greenhouse validation; Tables 6–7,https://doi.org/10.3389/fpls.2026.1771732
LIT-125,"Strader et al. (2019), Flower Interaction Subsystem for a Precision Pollination Robot",F11,Section VIII; Table II; pages 7–8,https://doi.org/10.1109/IROS40897.2019.8967752
LIT-172,"Nishimoto et al. (2023), An evaluation of pollination methods for strawberries cultivated in plant factories with artificial light",F13,"Methods, fruit-grade table, ANOVA Table 2",https://doi.org/10.48130/TIH-2023-0019
LIT-173,"Kong et al. (2025), Towards Closing the Loop in Robotic Pollination for Indoor Farming Via Autonomous Microscopic Inspection",F14,Integrated system experiments; Table II and Section IV-C3,https://doi.org/10.1109/ICRA55743.2025.11127933
LIT-174,"Navas et al. (2024), Design and Implementation of an Innovative Soft Tool for Robotic Pollination",F15,"Experimental results, pages 3–4",https://doi.org/10.1109/ROBOT61475.2024.10797408
LIT-175,"Karunarathna et al. (2025), Towards Autonomous Raised Bed Flower Pollination with IoT and Robotics †",F16,"Abstract, system description and conclusion",https://doi.org/10.3390/ECSA-12-26572
LIT-176,"Li et al. (2026), Design and performance verification of an intelligent pollination robot for facility tomatoes",F17,Equation 17; Section 3.2; Tables 4–6; Figure 14; Section 3.3,https://doi.org/10.1016/j.compag.2025.111139
LIT-195,"Ni et al. (2025), Efficient motion planning for chili flower pollination mechanism based on BI-RRT",F18,Sections 3.2–3.3; Table 4; Figure 16; Figure 17,https://doi.org/10.1016/j.compag.2025.110063
LIT-196,"Manzoor et al. (2025), Optimized Yolov5s-Im for real-time apple flower detection in drone-based pollination",F19,Sections 2.4.1–2.4.2; Section 2.6; Figure 6; Figure 15; Results,https://doi.org/10.1016/j.atech.2025.101150
LIT-200,"Hao et al. (2026), Clip-assisted flower detection and wind-compensated precision liquid pollination robot for kiwifruit orchards",F20,Materials and Methods; Tables 3–4 and 8–11; Figures 13–23; Sections 5.2–5.3,https://doi.org/10.1016/j.compag.2025.111250
LIT-221,"Shimizu et al. (2026), Field validation of an autonomous electrostatic drone pollination system for Japanese pear",F21,Sections 2.1–2.5 and 3.1–3.5; Tables 2–3; Figures 8–12,https://doi.org/10.1016/j.atech.2026.102108
LIT-227,"Gao et al. (2025), A Novel Multinozzle Targeting Pollination Robot for Clustered Kiwifruit Flowers Based on Air–Liquid Dual-Flow Spraying",F02,"Sections 2.5–3.4; Table 2; Figures 12, 16–17",https://doi.org/10.1002/rob.22499
LIT-236,"Miyoshi et al. (2025), Development of Pear Pollination System Using Autonomous Drones",F21,Section 6.2; Table 3; Discussion and Summary,https://doi.org/10.3390/agriengineering7030068
LIT-238,"Xie et al. (2025), Engineering crop flower morphology facilitates robotization of cross-pollination and speed breeding",F22,Figures 4–5; main Results pp. 5816–5819; STAR Methods,https://doi.org/10.1016/j.cell.2025.07.028
LIT-338,"Barnett et al. (2017), Robotic pollination — targeting kiwifruit flowers for commercial application, in: PA17 International Tri-Conference for Precision Agriculture",F06,"Barnett et al. 2017 full paper, Sections 3.1–4; pp. 4–7",https://hdl.handle.net/10289/11803
LIT-339,"Duke et al. (2017), Automated pollination of kiwifruit flowers, in: 7th Asian-Australasian Conference on Precision Agriculture",F06,Zenodo record 895619; ACPA Paper 300,https://doi.org/10.5281/zenodo.895619
